Tuesday,5/03/2019,1 USD =,70.4987 INR,
Monday,4/03/2019,1 USD =,70.9108 INR,
Sunday,3/03/2019,1 USD =,71.0002 INR,
Saturday,2/03/2019,1 USD =,71.0014 INR,
Friday,1/03/2019,1 USD =,70.999 INR,
Thursday,28/02/2019,1 USD =,70.8181 INR,
Wednesday,27/02/2019,1 USD =,71.2032 INR,
Tuesday,26/02/2019,1 USD =,70.9445 INR,
Monday,25/02/2019,1 USD =,70.8335 INR,
Sunday,24/02/2019,1 USD =,71.0423 INR,
Saturday,23/02/2019,1 USD =,71.0326 INR,
Friday,22/02/2019,1 USD =,71.036 INR,
Thursday,21/02/2019,1 USD =,71.1965 INR,
Wednesday,20/02/2019,1 USD =,71.0567 INR,
Tuesday,19/02/2019,1 USD =,71.2958 INR,
Monday,18/02/2019,1 USD =,71.3846 INR,
Sunday,17/02/2019,1 USD =,71.329 INR,
Saturday,16/02/2019,1 USD =,71.3307 INR,
Friday,15/02/2019,1 USD =,71.3355 INR,
Thursday,14/02/2019,1 USD =,71.02 INR,
Wednesday,13/02/2019,1 USD =,70.8751 INR,
Tuesday,12/02/2019,1 USD =,70.5529 INR,
Monday,11/02/2019,1 USD =,71.2372 INR,
Sunday,10/02/2019,1 USD =,71.1595 INR,
Saturday,9/02/2019,1 USD =,71.1599 INR,
Friday,8/02/2019,1 USD =,71.1598 INR,
Thursday,7/02/2019,1 USD =,71.3028 INR,
Wednesday,6/02/2019,1 USD =,71.5535 INR,
Tuesday,5/02/2019,1 USD =,71.5259 INR,
Monday,4/02/2019,1 USD =,71.6966 INR,
Sunday,3/02/2019,1 USD =,71.4608 INR,
Saturday,2/02/2019,1 USD =,71.4638 INR,
Friday,1/02/2019,1 USD =,71.4638 INR,
Thursday,31/01/2019,1 USD =,70.96 INR,
Wednesday,30/01/2019,1 USD =,71.1302 INR,
Tuesday,29/01/2019,1 USD =,71.431 INR,
Monday,28/01/2019,1 USD =,71.1009 INR,
Sunday,27/01/2019,1 USD =,70.9862 INR,
Saturday,26/01/2019,1 USD =,70.9773 INR,
Friday,25/01/2019,1 USD =,70.9848 INR,
Thursday,24/01/2019,1 USD =,71.0008 INR,
Wednesday,23/01/2019,1 USD =,71.1604 INR,
Tuesday,22/01/2019,1 USD =,71.2378 INR,
Monday,21/01/2019,1 USD =,71.196 INR,
Sunday,20/01/2019,1 USD =,71.2402 INR,
Saturday,19/01/2019,1 USD =,71.2518 INR,
Friday,18/01/2019,1 USD =,71.2518 INR,
Thursday,17/01/2019,1 USD =,71.0414 INR,
